repo,file,check_type,object_name,kind_or_line,naive,structured,gap_or_flag
aiobotocore,corpus-study/repo_src/aiobotocore/aiobotocore/utils.py,LOCK,_RefCountedSession.__lock,,unsat,unsat,no
aiobotocore,corpus-study/repo_src/aiobotocore/aiobotocore/credentials.py,LOCK,AioRefreshableCredentials._refresh_lock,,unsat,unsat,no
aiobotocore,corpus-study/repo_src/aiobotocore/aiobotocore/retries/bucket.py,wait_for,_acquire,92,unsat,sat,"callee 'wait' not in this file -- needs manual check"
aiobotocore,corpus-study/repo_src/aiobotocore/aiobotocore/retries/adaptive.py,LOCK,AsyncClientRateLimiter._lock,,unsat,unsat,no
aiobotocore,corpus-study/repo_src/aiobotocore/aiobotocore/tokens.py,LOCK,AioDeferredRefreshableToken._refresh_lock,,unsat,unsat,no
aiocache,corpus-study/repo_src/aiocache/aiocache/base.py,wait_for,_timeout,54,unsat,sat,"callee 'func' not in this file -- needs manual check"
aiocache,corpus-study/repo_src/aiocache/aiocache/lock.py,wait_for,_wait_for_release,90,unsat,sat,"callee 'wait' not in this file -- needs manual check"
aiohttp,corpus-study/repo_src/aiohttp/docs/code/client_middleware_cookbook.py,EVENT,token_refresh_preemptively_example.auto_refresh_client::ready,,sat,sat,no
aiohttp,corpus-study/repo_src/aiohttp/docs/code/client_middleware_cookbook.py,LOCK,TokenRefresh401Middleware.lock,,unsat,unsat,no
aiohttp,corpus-study/repo_src/aiohttp/docs/code/client_middleware_cookbook.py,LOCK,TokenRefreshExpiryMiddleware.lock,,unsat,unsat,no
aiohttp,corpus-study/repo_src/aiohttp/examples/token_refresh_middleware.py,LOCK,TokenRefreshMiddleware._refresh_lock,,unsat,unsat,no
aiohttp,corpus-study/repo_src/aiohttp/aiohttp/_websocket/writer.py,LOCK,WebSocketWriter._send_lock,,sat,unsat,yes
aiokafka,corpus-study/repo_src/aiokafka/aiokafka/consumer/group_coordinator.py,LOCK,GroupCoordinator._coordinator_lookup_lock,,unsat,unsat,no
aiokafka,corpus-study/repo_src/aiokafka/aiokafka/consumer/group_coordinator.py,LOCK,GroupCoordinator._commit_lock,,sat,unsat,yes
aiomysql,corpus-study/repo_src/aiomysql/aiomysql/connection.py,wait_for,_connect,519,unsat,unsat,"handled_locally"
aiomysql,corpus-study/repo_src/aiomysql/aiomysql/connection.py,wait_for,_connect,527,unsat,sat,"no handler found within same-file call chain -- needs manual check"
